Meridian_No, Led_No, X, Y, Z
origin,,,,
1,1,199.88,6.34,0.26
1,2,227.56,18.54,0.26
1,3,258.07,31.58,0.26
1,4,287.79,46.76,0.26
1,5,316.03,63.59,0.26
1,6,344.07,81.93,0.26
1,7,370.88,101.68,0.26
1,8,396.33,122.53,0.26
1,9,423.27,147.27,0.26
1,10,448.27,174.39,0.26
1,11,469.85,198.74,0.26
1,12,490.19,225.24,0.26
1,13,508.89,252.72,0.26
1,14,526.57,280.57,0.26
1,15,542.34,310.51,0.26
1,16,556.56,340.23,0.26
1,17,569.26,370.59,0.26
1,18,580.09,401.67,0.26
1,19,590.7,432.18,0.26
1,20,599.01,464.08,0.26
1,21,604.74,496.98,0.26
1,22,609.16,530.07,0.26
2,1,195.5,6.18,53.69
2,2,255.23,16.56,61.79
2,3,254.93,28.55,69.89
2,4,284.36,42.84,77.91
2,5,312.92,58.86,85.7
2,6,343.32,76.46,93.98
2,7,369.77,94.77,101.19
2,8,395.82,114.68,108.29
2,9,420.48,136.44,115.01
2,10,443.27,159.05,121.22
2,11,466.57,185.83,127.58
2,12,485.67,209.05,132.78
2,13,504.45,236.24,137.9
2,14,522.3,264.81,142.77
2,15,537.1,290.33,146.8
2,16,551.73,322.05,150.79
2,17,564.74,351.15,154.34
2,18,575.71,382.15,157.33
2,19,585.2,414.34,159.91
2,20,593,447.85,162.04
2,21,598.85,479.43,163.63
2,22,602.59,511.43,164.65
3,1,171.07,4.11,100.71
3,2,198.56,14.6,116.86
3,3,224.95,26.19,132.35
3,4,250.83,40.76,147.56
3,5,275.82,56.73,162.24
3,6,302.71,75.19,178.03
3,7,328.89,95.52,193.41
3,8,352.27,115.87,207.14
3,9,373.61,139.35,219.67
3,10,393.29,161.49,231.23
3,11,413.3,185.79,242.99
3,12,431.92,211.64,253.92
3,13,449.03,238.27,263.97
3,14,465.12,265.59,273.42
3,15,479.52,293.84,281.88
3,16,492.31,324.23,289.39
3,17,508.04,360.99,298.63
3,18,519.24,392.8,305.21
3,19,528.59,420.05,310.7
3,20,534.6,444.46,314.23
3,21,540.63,476.29,317.77
3,22,545.62,509.16,320.71
4,1,140.14,4.74,142.76
4,2,165.96,17.76,169.03
4,3,187.91,29.76,191.37
4,4,209.04,44.08,212.88
4,5,229.32,59.21,233.51
4,6,249.25,76.48,253.79
4,7,268.79,94.92,273.67
4,8,287.59,115,292.81
4,9,305.29,137.39,310.82
4,10,323.58,160.22,329.43
4,11,340.12,183.89,346.26
4,12,355.19,209.08,361.6
4,13,369.33,236.21,375.98
4,14,382.2,263.31,389.07
4,15,393.51,292.61,400.58
